v.id,years,km,rating,condition,economy,top speed,hp,torque,current price
1,3,78945,1,2,14,177,73,123,351318
2,6,117220,5,9,9,148,74,95,285001.5
3,2,132538,2,8,15,181,53,97,215386
4,4,101065,4,3,11,197,54,116,244295.5
5,6,61559,3,9,12,160,53,105,531114.5
6,6,148846,2,9,13,138,61,109,177933.5
7,5,78025,1,9,15,171,94,132,410877
8,6,76546,1,2,12,146,109,96,467471.5
9,7,57662,4,7,14,151,50,132,462397.5
10,2,132347,2,3,12,200,115,82,197266
11,7,106819,2,5,12,164,87,113,292308.5
12,6,117221,5,2,9,187,74,87,264576.5
13,4,53513,3,9,13,174,81,92,515454
14,6,86704,1,7,15,175,118,107,373529
15,7,51547,2,1,9,146,60,107,474281.5
16,7,70564,1,10,15,176,74,119,468666
17,4,130514,3,9,15,189,120,133,210661.5
18,4,115576,2,6,14,195,69,93,274357.5
19,5,79458,5,1,14,156,84,132,439639.5
20,2,140673,4,8,10,153,73,86,196816
21,7,130523,5,5,10,187,75,129,112864.5
22,6,81194,5,9,11,182,95,139,427079
23,6,94437,5,9,15,176,84,126,337327
24,6,139685,2,2,11,163,52,121,140216.5
25,4,53137,3,8,8,191,109,121,518845
26,3,74489,1,9,8,179,96,136,381846.5
27,4,85911,1,3,13,145,79,78,337917
28,4,100572,3,9,12,141,63,71,322684
29,7,143488,4,4,12,142,74,74,173847
30,7,101416,3,8,9,171,77,128,291031.5
31,2,90429,5,6,13,137,82,111,347784.5
32,5,67075,1,8,15,138,110,75,459914.5
33,7,129855,2,6,9,157,92,70,177748.5
34,2,146017,4,4,9,162,55,75,166283
35,5,96226,1,9,8,191,101,94,317119
36,7,125676,2,3,15,164,87,93,195854
37,4,121583,4,4,10,196,108,108,130233.5
38,6,54003,2,7,11,160,106,80,421781
39,3,94258,1,10,11,173,101,120,316184
40,4,124136,3,3,10,159,50,90,250955
41,5,85276,5,6,11,157,84,79,397522
42,6,74674,5,1,10,158,83,81,450198.5
43,6,111922,3,9,13,193,59,140,315542.5
44,7,72391,5,8,15,163,81,130,435007.5
45,2,129439,2,4,15,153,106,107,140596
46,4,103761,4,10,11,162,107,96,389925.5
47,3,97328,4,2,8,154,64,90,293875.5
48,3,87920,5,6,15,182,71,127,317681.5
49,2,79912,5,8,13,160,118,130,413066
50,4,95771,1,9,12,136,88,115,340760
